,Questions,Answers
1094,what was the first reported baculovirus vector based vaccine for influenza, using autographa californica nuclear polyhedrosis virus expressing the ha of pr8 under control of the cag promoter 
1095,what is a drawback of ad5 vector,preexisting immunity
1096,what alternatives to ad5 vector have been explored,adenovirus serotypes have been explored as vectors particularly nonhuman and uncommon human serotypes
1097,what animal adenoviruses have been shown to induce immunity comparable to rda5ha,swine nhp and bovine adenoviruses expressing h5 ha antigens 
1098,what can evade antiad5 response and also provide effective antigen delivery and immunogenicity, low prevalence serotypes such as adenovirus types 3 7 11 and 35
1099,what additional strategies have been explored to avoid preexisting immunity,primeboost strategies using dna or protein immunization in conjunction with an adenovirus vaccine booster immunization
1100,what is the advantage of aav vector,like rad vectors raav have broad tropism infecting a variety of hosts tissues and proliferating and nonproliferating cell types 
1101,what is the advantage of the aav vector, the wild type viruses are nonpathogenic and replication incompetent in humans and the recombinant aav vector systems are even further attenuated 
1102,what is the advantage of aav vector,as members of the parvovirus family aavs are small nonenveloped viruses that are stable and amenable to longterm storage without a cold chain
1103,what is the advantage of aav vector,while there is limited preexisting immunity availability of nonhuman strains as vaccine candidates eliminates these concerns
1104,has aav been studied as vectors for influenza,there are limited studies 
1105,what are alphaviruses,positivesense singlestranded rna viruses of the togaviridae family
1106,what are some alphavirus vectors that have been developed,semliki forest virus  sindbis virus venezuelan equine encephalitis virus as well as chimeric viruses incorporating portions of sin and vee viruses
1107,how do the alphavirus vectors work, the replication defective vaccines or replicons do not encode viral structural proteins having these portions of the genome replaces with transgenic material
1108,how do the alphavirus vectors work,the structural proteins are provided in cell culture production systems
1109,what is an important feature of the replicon system,the selfreplicating nature of the rna despite the partial viral genome the rnas are selfreplicating and can express transgenes at very high levels
1110,how did the vee based replicon system incorporating ha from pr8perform,demonstrated to induce potent haspecific immune response and protected from challenge in a murine model despite repeated immunization with the vector expressing a control antigen suggesting preexisting immunity may not be an issue for the replicon vaccine
1111,why is the vee replicon system particularly appealing,the vee targets antigenpresenting cells in the lymphatic tissues priming rapid and robust immune responses
1112,what is the advantage of the vee replicon system,vee replicon systems can induce robust mucosal immune responses through intranasal or subcutaneous immunization   and subcutaneous immunization with viruslike replicon particles expressing hainduced antigenspecific systemic igg and fecal iga antibodies 
1113,what were the vrps derived from vee developed for,as candidate vaccines for cytomegalovirus 
1114,what did the clinical trial with cmv vrp show,vaccine was immunogenic inducing cmvneutralizing antibody responses and potent t cell responses moreover the vaccine was well tolerated and considered safe 
1115,what did the clinical trial with vrp show,vaccine was safe and despite high vectorspecific immunity after initial immunization continued to boost transgenespecific immune responses upon boost 
1116,"which baculovirus vaccine has been approved for 
 human use",baculovirusderived recombinant ha vaccine was approved for human use and was first available for use in the united states for the 20132014 influenza season
1117,what is the advantage of baculoviruses,readily manipulated
1118,what is the advantage of baculovirus vectors,the vectors can accommodate large gene insertions show limited cytopathic effect in mammalian cells and have been shown to infect and express genes of interest in a spectrum of mammalian cells
1119,how can baculovirus vectors be improved,while the insect promoters are not effective for mammalian gene expression appropriate promoters can be cloned into the baculovirus vaccine vectors
1120,what baculovirus vector based immunization provided protection from lethal challenge,only intranasal immunization
1121,what was the benefit of the robust innate immune response to baculovirus vector, nonspecific protection from subsequent influenza virus infection
1122,what is the newcastle disease virus,a singlestranded negativesense rna virus that causes disease in poultry 
1123,what are the appealing qualities of the ndv vector,as an avian virus there is little or no preexisting immunity to ndv in humans and ndv propagates to high titers in both chicken eggs and cell culture 
1124,what is the appealing quality of the ndv vector,as a paramyxovirus there is no dna phase in the virus lifecycle reducing concerns of integration events and the levels of gene expression are driven by the proximity to the leader sequence at the 3' end of the viral genome this gradient of gene expression enables attenuation through rearrangement of the genome or by insertion of transgenes within the genome
1125,what is the appealing quality of the ndv vector,pathogenicity of ndv is largely determined by features of the fusion protein enabling ready attenuation of the vaccine vector
1126,what did the first report on the ndv vector test conclude,it induced a robust serum antibody response and protected against homologous influenza virus challenge in a murine model of infection 
1127,what is the added protection of ndv vector,providing protection against both the influenza virus and ndv infection
1128,what have the limited ndv human trails shown,the ndv vector is welltolerated even at high doses delivered intravenously 
1129,what are the attractive features of the piv5 vector, piv5 has a stable rna genome and no dna phase in virus replication cycle reducing concerns of host genome integration or modification piv5 can be grown to very high titers in mammalian vaccine cell culture substrates and is not cytopathic allowing for extended culture and harvest of vaccine virus  like ndv piv5 has a 3'to 5' gradient of gene expression and insertion of transgenes at different locations in the genome can variably attenuate the virus and alter transgene expression  piv5 has broad tropism infecting many cell types tissues and species without causing clinical disease although piv5 has been associated with kennel cough‖ in dogs
1130,what was the result of the test of efficacy of piv5 in murine challenge,mice intranasally vaccinated with a single dose of piv5h5 vaccine had robust serum and mucosal antibody responses and were protected from lethal challenge notably although cellular immune responses appeared to contribute to protection serum antibody was sufficient for protection from challenge
1131,what opportunity has the termination of smallpox vaccination provided,has resulted in a large population of poxvirusnaï ve individuals that provides the opportunity for the use of poxviruses as vectors without preexisting immunity concerns 
1132,what vaccinia vectors were created to address safety concerns,the modified vaccinia virus ankara strain was attenuated by passage 530 times in chick embryo fibroblasts cultures the second new york vaccinia virus was a plaquepurified clone of the copenhagen vaccine strain rationally attenuated by deletion of 18 open reading frames
1133,how safe is mva,mva has undergone extensive safety testing and shown to be attenuated in severely immunocompromised animals and safe for use in children adults elderly and immunocompromised persons with extensive preclinical data recombinant mva vaccines expressing influenza antigens have been tested in clinical trials and been shown to be safe and immunogenic in humans 
1134,what is the status of mva influenza vaccine,results combined with data from other clinical and preclinical studies support mva as a leading viralvectored candidate vaccine
1135,what is nyvac,the nyvac vector is a highly attenuated vaccinia virus strain nyvac is replicationrestricted
1136,how is nyvac grown,in chick embryo fibroblasts and vero cells enabling vaccinescale production in nonpermissive cells critical late structural proteins are not produced stopping replication at the immature virion stage 
1137,how safe is nyvac, nyvac is very attenuated and considered safe for use in humans of all ages
1138,what would limit the use of poxvirus vectored vaccines,current influenza vaccination strategies rely upon regular immunization with vaccines matched to circulating strains
1139,what is the advantage of the nyvac as an influenza virus,immunization with this vector induces weaker vaccinespecific immune responses compared to other poxvirus vaccines a feature that may address the concerns surrounding preexisting immunity 
1140,where is poxvirus vaccine being used, licensed poxvirus for veterinary use that include fowlpoxand canarypoxvectored vaccines for avian and equine influenza viruses respectively 
1141,what have the studies on np shown for the protection against influenza challege, immunization with np expressed by aav rad5 alphavirus vectors mva or other vector systems induces potent cd8  t cell responses 
1142,what is the goal of vaccine,protect against infection and disease while inducing populationbased immunity to reduce or eliminate virus transmission within the population
1143,what has enabled the development of one size fits all vaccine, recent ability to probe the virushost interface through rna interference approaches that facilitate the identification of host genes affecting virus replication immunity and disease
1144,why is a revision of current vaccines is needed,strategies for atrisk populations particularly those at either end of the age spectrum
1145,what is an example of an improved vaccine regime,a vectored influenza virus vaccine that expresses the ha na and m andor np proteins for the two currently circulating influenza a subtypes and both influenza b strains so that vaccine take and vaccine antigen levels are not an issue in inducing protective immunity
1146,what can provide an improved vaccine regime,recombinant liveattenuated or replicationdeficient influenza viruses
1147,what features can be created for creating vectored vaccines,fulllength influenza virus proteins as well as generate conformationally restricted epitopes features critical in generating appropriate humoral protection
1148,how can sustained immunity be generated,induce immunity at sites of inductive immunity to natural infection in this case the respiratory tract
1149,what is the advantage of vectored vaccines,generate antigen for weeks after immunization in contrast to subunit vaccination this increased presence and level of vaccine antigen contributes to and helps sustain a durable memory immune response even augmenting the selection of higher affinity antibody secreting cells
1150,what is the enhanced memory immune response linked to,intrinsic augmentation of immunity induced by the vector
1151,what cellular process is the tat protein essential to,hiv1 replication
1152,where does the tat protein move to in cells,nucleoplasm and the nucleolus
1153,what is a nucleolus,a highly dynamic and structured membraneless subnuclear compartment
1154,where are rrna and ribosomes created,nucleolus
1155,how many proteins were shown to change the amount of jurkat tcell nucleolus significantly,49
1156,what cellular processes occur in the nucleolus,rnapolymeraseidirected rdna transcription rrna processing mediated by small nucleolar ribonucleoproteins and ribosome assembly
1157,which viruses target the nucleolus as part of their replication strategy,hiv1 hcmv hsv and kshv
1158,what nucleolar antigen is essential of localization of tat and rev proteins,b23
1159,what was studied in this report,systematically analysed the nucleolar proteome perturbations occurring in jurkat tcells
1160,what was studied in this report,the quantitative changes in the nucleolar proteome of jurkat t cells constitutively expressing hiv1 tat versus their tatnegative counterpart
1161,which isotope labeled arginine,light 
1162,which isotope labeled lysine,heavy 
1163,how many cells were harvested from each culture,85 million
1164,how long is the nuclear protein parp1,113 kda
1165,how long is the protein alphatubulin,50 kda
1166,where was alphatubulin found most abundantly in the cell,cytoplasmic
1167,where was alphatubulin found least abundantly in the cell,nuclear
1168,what is shown in table s1,the fully annotated list of the quantified nucleolar proteins
1169,what types of cells are used to study tatmediated pathogenesis,jurkat tcells
1170,how many proteins displayed a significant fold change,49
1171,what is the significance of this study,the first proteomic analysis of dynamic composition of the nucleolus in response to hiv1 tat expression
1172,how are mammarenaviruses spread from rodents to humans,mucosal exposure to aerosols or by direct contact of abraded skin with infectious material
1173,what are the main groups for mammarenaviruses,old world and new world 
1174,what is the cause of lassa fever,ow lassa virus 
1175,what type of vaccine is junv candid1,live attenuated
1176,why was the human a549 cell line chosen for this study,lung epithelial cells are one of the initial cell targets of humans following inhalation of mammarenavirions
1177,for how long were the cells infected before analysis,48 h
1178,what drug is used to treat congestive heart failure,ouabain
1179,what does ouabain inhibit,atp1a1
1180,what method can significantly alleviate the emergence of drugresistant variants in rna viral infections,combination therapy
1181,what factors did this study attribute to the efficient multiplication of mammarenaviruses,atp1a1 and phb
1182,how do the authors suggest that atp1a1 and phb contribute to the efficient multiplication of mammarenaviruses,using genetics and pharmacological inhibition of the genes
1183,which are the most abundant biological entities on earth,viruses 
1184,what contributed to a large part of mammalian genomic sequence,retroviruses 
1185,what were the earliest replicating entities that fulfill several criteria for life,ribozymes or viroids
1186,what are some examples of autonomous bacteria that lost their independence and became intracellular parasites or endosymbionts,mitochondria chloroplasts rickettsia 
1187,what entities with no genes satisfy the criteria for life,ribozymes catalytic rnas closely related to viroids
1188,which group of rna quasispecies satisfy criteria for life, catalytically active members enzymatically active ribozymes the sequence space for 220mer rnas is about 3 × 10 132 
1189,how are the ribozymes able to replicate join and create peptide bonds, they can polymerize progeny chemically allow for mutations to occur and can evolve one molecule serves as catalyst the other one as substrate replication of ribozymes was demonstrated in the test tube  ribozymes can form peptide bonds between amino acids  thus small peptides were available by ribozyme activity 
1190,does rna replication need polymerase enzymes,replication of rna molecules can be performed chemically from rna without polymerase enzymes
1191,how can dna arise chemically from rna,deoxyribozymes can form from ribonucleotides  thus dna can arise from rna chemically without the key protein enzyme the reverse transcriptase
1192,what do ribozymes consist of,circular singlestranded rnas
1193,what do ribozymes lack,the genetic triplet code and do not encode proteins
1194,what do ribozymes exhibit,structural information by hairpinloops that form hydrogen bonds between incomplete double strands and loops free to interact with other molecules
1195,what is chikv marked by,severe joint pain contorting its victims into unusual postures 
1196,what does chikungunya cause, fever disease headache rash nausea vomiting myalgia and arthralgia
1197,what is chikungunya virus,a mosquitoborne emerging pathogen
1198,is there a treatment,currently there is no vaccine or antiviral treatmen
1199,what conclusion is drawn in this report,with the threat of an emerging global pandemic the peculiar problems associated with the more immediate and seasonal epidemics warrant the development of an effective vaccine
1200,what is chikungunya virus,a mosquitoborne pathogen listed by national institute of allergy and infectious diseases as a category c priority pathogen that causes chikungunya fever 
1201,what is chikv,an arthropodborne virus arbovirus
1202,how is chikv propagated to humans,primarily by aedes aegypti the infamous yellow fever propagator
1203,from what language the disease gets its name,kimakonde vernacular language of tanzania and mozambique
1204,what is the word chikungunya mean,'that which contorts or bends up'
1205,what does chikungunya mean in swahili,the illness of the bended walker
1206,how is chikv maintained in africa, in a sylvatic cycle among forestdwelling aedes spp mosquitoes wild primates squirrels birds and rodents
1207,what is it vectored by in asia, ae aegypti and ae albopictus
1208,how does the transmission in asia occur,in an urban cycle whereby the mosquito spreads the disease from an infected human to an uninfected human following an epidemiological pattern similar to dengue fever
1209,what spurred the discovery of the new vector ae albopictus,the 20052006 epidemic of chikv in la reunion islands in the indian ocean
1210,in the epidemic peak how many cases per week were there on the island,46000
1211,what does this review detail,the epidemiology and global expansion of chikv
1212,what dose this review describe, its clinical features and pathogenesis and its symptoms and complications and finally nominates a possible vaccine approach against chikv infection
1213,how many genotypes of chikv have been isilated, three genotypes based on phylogenetic studies
1214,what are the genotypes based on,the gene sequences of an envelope protein  are asian eastcentral south african and west african
1215,hen did asian genotype emerge,between 50 and 310 y ago
1216,when didthe asian genotype diverge from african genotype, between 100 and 840 y ago
1217,what is the status of asian chikv since its emergence,has come a long way with several mutations incorporated and has continued to wreak epidemics in several regions
1218,what are the recent activities of chikv, the indian epidemic in 20052006 which was followed by a sudden explosion of cases in 2007 an estimated 13 million people across 13 states were reported to be infected in india  and chikv was also widespread in malaysia sri lanka and indonesia  in julyaugust of 2007 chikv was reported in italy probably brought in by travelers from chikvprone regions of india africa and indian ocean islands such as mauritius madagascar and seychelles
1219,how was the italian isolation found to have evolved from,from the kerala isolate which was associated with a a226v shift in e1 gene that represents a successful evolutionary adaptation in the mosquito vector similar to the ones observed in reunion island [
1220,how many days is the incubation period,26 d
1221,in how many days do the symptoms arise,47 
1222,what are exhibited in the two phases,the first stage is acute while the second stage experienced by most but not all is persistent causing disabling polyarthritis characteristics of the acute phase include an abrupt onset of fever arthralgia and in some cases maculopapular rash  the acute phase causes such intense joint and muscular pain that makes movement very difficult and prostrates its victims [
1223,what are consequences of infection,ninetyfive percent of infected adults are symptomatic after infection and of these most become disabled for weeks to months as a result of decreased dexterity loss of mobility and delayed reaction
1224,what percentage of the patients still have the chikv igm after eighteen months,the chronic stage of chikf is characterized by
1225,what is te chronic stage characterized by, by polyarthralgia that can last from weeks to years beyond the acute stage
1226,what is affected by chikv,fibroblasts
1227,what explains the pain associated with chikv, the high number of nociceptive nerve endings found within the joints and muscle connective tissues
1228,what percentage of people suffering from the chikf are over 65 years old,50%
1229,what percentage die,33% 
1230,what other group is disproportionately affected,children
1231,what complications are associated with chikv,from most common to least common include respiratory failure cardiovascular decompensation meningoencephalitis severe acute hepatitis severe cutaneous effects other central nervous system problems and kidney failure
1232,what happens after host infection,chikv undertakes a complex replication cycle upon host infection  which makes its genome susceptible to mutations 
1233,what did the aeaegypti which is responsible for epidemics in kenya comoros and seychelles carry,chikv with an alanine in the 226 position of the e1 gene 
1234,what was the result of the decline in population of ae aegyptus when the virus struck the reunion islands due to massive use dichlorodiphenyltrichloroethane usage, in an ecological pressure favoring replacement of alanine at position 226 with valine 
1235,what did this mutation allow,chikv's secondary vector species ae albopictus to supplement ae aegypti as its primary vector
1236,what vectored the large epidemic in la reunion islands, ae albopictus
1237,what percentage of population was affected,34% 
1238,where were the chikv strain found,all of the chikv strains isolated from mayotte carried the e1a226v mutation and the mutation was also found in madagascar in 2007 [
1239,what is the finding on e1a226v in indian ocean,mutation was not present at the beginning of the indian ocean islands outbreak  however more than 90% of later viral strains found there had incorporated the mutation  indicating a genotype switch during the winter season
1240,what has the e1a226v enabled,an increase in infectivity of ae albopictus when compared to its infectivity of ae aegypti 
1241,what has become the preferred and lethal vector,ae albopictus
1242,what was the finding on the green fluorescent tagged e1a226v, e1a226v virus was 100 times more infective to ae albopictus than it was to ae aegypti
1243,what became the main vector in the indian ocean within 12 y after chikv was introduced,ae albopictus
1244,how long ae aegypti been established in north america,for over 300 
1245,what is the presence of aealbopictus in north america,has been in many areas of the us since 1985 primarily in florida and since then has expanded its range in the country
1246,what percentage of newborns were infected from their mother,50%
1247,what has been some instances of mother to fetus transmission,congenital illness and fetal death
1248,what did the studies reveal regarding transmission from mothers during perinatal period,during the 20052006 la reunion island outbreaks ramful et al discovered that mothers could transmit chikv to their progeny during the perinatal period   and it is associated with a high degree of morbidity by mean day 4 of life all of the neonates were symptomatic for chikv exhibiting common chikf symptoms
1249,what is theorized regarding transmission,mothertochild transmission most likely happens transplacentally shortly before delivery
1250,what did the study report,neonatal infection associated with intrapartum maternal viremia that progressed to develop encephalitis owing to vertical transmission from infected mothers 
1251,what is a conclusion of this report, dna vaccines could play a major role in combating chikv
1252,what is a conclusion of this report,vaccines are literally a critical component of chikv disease control and therefore research in this area is highly encouraged 
1253,what is the niaid designation of chikv,as a category c pathogen alongside the influenza and sarscov viruses 
1254,what are the strengths and advantages of dna based vaccine, its ability to induce crossreactive immune responses against the three distinct phylogenetic groups of chikv also dnabased vaccines can be produced more rapidly than proteinbased vaccines
1255,how many facilities were monitored in this study,two
1256,what percentage of facilities believed they were adequately equipped to handle ebola virus disease,2574%
1257,how many facilities believed they were adequately equipped to handle ebla virus disease,26
1258,how many healthcare workers would be willing to continue working during the ebola virus outbreak,less than 50%
1259,what does the study suggest would make healthcare workers more willing to care for patients during an ebola virus outbreak,if hcws are assured or guaranteed that they and or their families would be taken care of in case of death or while taking care of an evd case
1260,what causes avian infectious bronchitis,infectious bronchitis virus 
1261,what differentiated the two chicken lines used in this study,serum concentration of mannosebinding lectin 
1262,which organ was used for the rna sequencing samples,spleen
1263,what is needed to elucidate zoonotic emergence,a mechanistic understanding of the impact of bats’ virus hosting capacities including uniquely constitutive immune pathways on cellularscale viral dynamics
1264,what is the conclusion of this report, heightened immune responses limit pathogeninduced cellular morbidity which can facilitate the establishment of rapidlypropagating persistent infections withinhost rapidlytransmitting viruses that have evolved with bat immune systems will likely cause enhanced virulence following emergence into secondary hosts with immune systems that diverge from those unique to bats
1265,why have bats received attention in recent years,for their role as reservoir hosts for emerging viral zoonoses including rabies and related lyssaviruses hendra and nipah henipaviruses ebola and marburg filoviruses and sars coronavirus 
1266,what difference bats demonstrate compared to most nonchiropteran mammals,no obvious disease symptoms upon infection with pathogens that are highly virulent in nonvolant mammals but may instead support viruses as longterm persistent infections rather than transient immunizing pathologies
1267,what suite of speciesspecific mechanisms do bats have to limit viral load,host receptor sequence incompatibilities for some batvirus combinations and constitutive expression of the antiviral cytokine
1268,how are mammalian cells typically rendered antiviral, the presence of viral rna or dna in the cytoplasm of mammalian cells will induce secretion of type i interferon proteins  which promote expression and translation of interferonstimulated genes in neighboring cells 
1269,in nonflying mammals what what would be elicited by ifn expression upon viral infection,widespread inflammation and concomitant immunopathology upon viral infection
1270,what do the bats do instead,bats support unique adaptations to combat inflammation
1271,why may the bats have this unique adaptation,to mitigate metabolic damage induced during flight
1272,why was the field of virus dynamics developed,to describe the mechanistic underpinnings of longterm patterns of steadystate viral load exhibited by patients in chronic phase infections with hiv who appeared to produce and clear virus at equivalent rates 
1273,how are bats connected to fatal viral diseases,bats are natural reservoirs for viruses that have some of the highest fatality rates of any viruses that people acquire from wild animals including rabies ebola and the sars coronavirus
1274,what is an example of antiviral defense in bats,some bats have an antiviral immune response called the interferon pathway perpetually switched on
1275,what would be caused by this hypervigilance in most other mammals, harmful inflammation
1276,how are bats different,bats however have adapted antiinflammatory traits that protect them from such harm include the loss of certain genes that normally promote inflammation
1277,what bat species cells were compared,the black flying fox in which the interferon pathway is always on and another the egyptian fruit bat in which this pathway is only activated during an infection
1278,what was the conclusion of the study , in both bat species the strongest antiviral responses were countered by the virus spreading more quickly from cell to cell this suggests that bat immune defenses may drive the evolution of faster transmitting viruses and while bats are well protected from the harmful effects of their own prolific viruses other creatures like humans are not
1279,what would be the benefit of learning more about bat's defenses and how they drive virus evolution,help scientists develop better ways to predict prevent or limit the spread of viruses from bats to humans 
1280,which cells are ifndefective and therefore limited in antiviral capacity,demonstrate idiosyncratic induced interferon responses upon viral challenge
1281,what cells demonstrate idiosyncratic interferon response,roni71 cells
1282,which cells express constitutive ifna,pakit01 cell
1283,how were the spread of gfpexpressing virusinfected cells across tissue monolayers tracked via inverted fluorescence microscopy,because plaque assays restrict viral transmission neighbortoneighbor in twodimensional cellular space 
1284,how were the spread of gfpexpressing virusinfected cells tracked, for each infection trial we monitored and reimaged plates for up to 200 hr of observations or until total monolayer destruction processed resulting images and generated a time series of the proportion of infectiouscell occupied plate space across the duration of each trial  we used generalized additive models to infer the time course of all cell culture replicates and construct the multitrial dataset to which we eventually fit our mechanistic transmission model for each cell linevirusspecific combinatio
1285,how was the modeling carried out,an innovative combination of in vitro experimentation and withinhost modeling to explore the impact of unique bat immunity on virus dynamics
1286,what was the finding in this study,that bat cell lines demonstrated a signature of enhanced interferonmediated immune response of either constitutive or induced form which allowed for establishment of rapid withinhost celltocell virus transmission rates 
1287,what supports the results,by both dataindependent bifurcation analysis of our mean field theoretical model as well as fitting of this model to viral infection time series established in bat cell culture
1288,what was additionally demonstrated,the antiviral state induced by the interferon pathway protects live cells from mortality in tissue culture resulting in in vitro epidemics of extended duration that enhance the probability of establishing a longterm persistent infection
1289,what do the studies suggest,that viruses evolved in bat reservoirs possessing enhanced ifn capabilities could achieve more rapid withinhost transmission rates without causing pathology to their hosts such rapidlyreproducing viruses would likely generate extreme virulence upon spillover to hosts lacking similar immune capacities to bats
1290,what was the methodology for this study,we first developed a novel withinhost theoretical model elucidating the effects of unique bat immunity then undertook bifurcation analysis of the model's equilibrium properties under immune absent induced and constitutive assumptions we considered a cell line to be constitutively immune if possessing any number of antiviral cells at diseasefree equilibrium but allowed the extent of constitutive immunity to vary across the parameter range for  the constitutive rate of antiviral acquisition 
1291,what was demonstrated in deriving the equation for r 0, invasion threshold is elevated at high values of constitutive antiviral acquisition
1292,what is a conclusion of the modeling,constitutive immune processes can thus prohibit pathogen invasion while induced responses by definition can only control infections posthoc
1293,what is a conclusion of the study,regardless of mechanism  interferonstimulated antiviral cells appear to play a key role in maintaining longer term or persistent infections by safeguarding susceptible cells from rapid infection and concomitant cell death 
1294,what do fits to rvsvmarv infections on pakit01 cells suggest,that the constitutive ifna expression characteristic of p alecto cells may represent more of a constitutive immune priming process than a perpetual functional antiviral defense
1295,what do the findings indicate,enhanced ifnmediated immune pathways in bat reservoirs may promote elevated withinhost virus replication rates prior to crossspecies emergence 
1296,what is presented in this study,general methods to study crossscale viral dynamics which suggest that withinhost persistence is supported by robust antiviral responses characteristic of bat immune processes 
1297,what is a conclusion of this study, viruses which evolve rapid replication rates under these robust antiviral defenses may pose the greatest hazard for crossspecies pathogen emergence into spillover hosts with immune systems that differ from those unique to bats 
1298,what age group has the highest rate of severe outcomes,people 85 years and older
1299,how is covid19 spread,persontoperson
1300,how many states in the us have reported cases of covid19,50
1301,when did the white house launch the 15 days to slow the spread program,march 16
1302,what should mildlyill patients do,isolate at home during their illness
1303,what type of virus is sarscov2,betacoronavirus
1304,what viruses are similar to the covid19 coronavirus,merscov and sarscov
1305,what are the phases of a pandemic,investigation phase followed by recognition initiation and acceleration phases
1306,at which phase does the peak of the pandemic occur,at the end of the acceleration phase
1307,people with which medical conditions have a higher rate of severe illness,"people who have serious chronic medical conditions like
heart disease
diabetes
lung disease"
1308,what kind of test can diagnose covid19,rrtpcr test
1309,in what species did the covid19 virus likely originate,bats
1310,what risk factors should be considered in addition to clinical symptoms,"does the patient have recent travel from an affected area
has the patient been in close contact with someone with covid19 or with patients with pneumonia of unknown cause
does the patient reside in an area where there has been community spread of covid19"
1311,what is the acronym sarscov2,severe acute respiratory syndrome coronavirus 2 
1312,when was sarscov2 first identified,december 2019
1313,where was sarscov2 first identified,wuhan capital of hubei province china
1314,what factor positively correlates with importedandreported cases counts of sarscov2 infection,daily air travel volume
1315,what is the doubling time of the covid19 pandemic,≈6 days
1316,when did the first known cases of middle east respiratory syndrome occur, in 2012 
1317,where did the first known cases of middle east respiratory syndrome occur,in jordan
1318,where was the the case first to be publicly reported was from ,jeddah in the kingdom of saudi arabia 
1319,in what animals merscov sequences have been found ,in a bat and in many dromedary camels 
1320,where is merscov is enzootic in dc,across the arabian peninsula and in parts of africa
1321,what does merscov cause, mild upper respiratory tract illness in its camel reservoir and sporadic but relatively rare human infections
1322,precisely how does the virus transmit to humans,remains unknown
1323,what appears to be a requirement for transmission,close and lengthy exposure
1324,what is a focal point of mers,the ksa 
1325,what is mers mostly known as,lower respiratory tract disease 
1326,what does the mers lrt disease involve,fever cough breathing difficulties and pneumonia that may progress to acute respiratory distress syndrome multiorgan failure and death in 20 % to 40 % of those infected 
1327,where else merscov has also been detected, in mild and influenzalike illnesses and in those with no signs or symptoms
1328,who suffers severe diseases from mers,older males
1329, compared to severe acute respiratory syndrome  and another sometimes fatal zoonotic coronavirus disease how does mers affect the patients,mers progresses more rapidly to respiratory failure and acute kidney injury  is more frequently reported in patients with underlying disease and is more often fatal
1330,to what have most human cases of mers been linked,to lapses in infection prevention and control in healthcare settings
1331,among whom 20% of the virus detection are reported, among healthcare workers and higher exposures in those with occupations that bring them into close contact with camels 
1332,what have serosurveys of mers virus found,widespread evidence of past infection in adult camels and limited past exposure among humans
1333,how was the first culture of the new coronavirus announced,an email from dr ali mohamed zaki an egyptian virologist working at the dr soliman fakeeh hospital in jeddah in the kingdom of saudi arabia 
1334,where was the email published,on the website of the professional emerging diseases network
1335,when was the email published,20 th september 2012 
1336,whose was the first reported case,a 60 year old man from bisha in the ksa
1337,how many viral rna or virusspecific antibodies been detected,1493
1338,what is the death rate from merscov,over a third of the positive people dying 
1339,what did the discovery process over two to three years reveal,a virus that had infected over 90 % of adult dromedary camels in the ksa  also dcs across the arabian peninsula and parts of africa that are a source of dc imports for the ksa 
1340,what does subsequent transmission of merscov to other humans require, relatively close and prolonged exposure 
1341,what would restrict access to both the virus and to viral diagnostics ,the first viral isolate was patented 
1342,how was the virus then made freely available , sensitive validated reverse transcriptase realtime polymerase chain reaction based diagnostics were quickly described 
1343,what has epidemiology and research identified the merscov's cell receptor is,as exopeptidase dipeptidyl peptidase 4 
1344,how does merscov compare with sarscov,eliciting a more proinflammatory response than sarscov
1345,how does merscov compare with sarscov,mers kills its human host more often than sars did 2040 % versus 9 % for sars 
1346,how does merscov spread among people,from intermittent animaltohuman spillover events
1347,who gets more severe disease from mers,among older adults especially males with preexisting diseases 
1348,what is the spread of merscov among humans associated with,with outbreaks in hospitals with around 20 % of all cases to date involving healthcare workers 
1349,what do the dcs suffer with merscov infection, the equivalent of a 'common cold' from merscov infection
1350,what happens to humans infected by merscov virus, the virus can be a more serious and opportunistic pathogen associated with the death of up to 40 % of reported cases
1351,what is the incubation period of mers, five to six days ranging from two to 16 days
1352,what is the duration between when illness begins in one person and subsequently spreads to another,13 to 14 days
1353,what is the median time to death in case of progressive illness,11 to 13 days
1354,what is the progression of symptoms to disease,fever and gastrointestinal symptoms may form a prodrome after which symptoms decline only to be followed by a more severe systemic and respiratory syndrome 
1355,what did the later who definition of mers clearly state,a confirmed case included any person whose sample was rtpcr positive for merscov or who produced a seroconversion irrespective of clinical signs and symptoms
1356,what percentage of cases ksa has been a source of, 79 % 
1357,what is severe mars noted for,its impact among older men with comorbid diseases including diabetes mellitus cirrhosis and various lung renal and cardiac conditions 
1358,what symptoms appear among the confirmed cases of mers,fever cough and upper respiratory tract signs and symptoms usually occur first followed within a week by progressive lrt distress and lymphopaenia
1359,what do patients often present to a hospital with in cases of mers, pneumonia
1360,what can mers disease progress to,acute respiratory distress syndrome and multiorgan system failure
1361,what percentage of all reported cases has mers reportedly killed , 35 % 
1362,what percentage of of all reported cases has mers reportedly killed in ksa,42 %
1363,what was mortality in south korea from mers disease,ranged from 7 % among younger age groups to 40 % among those aged 60 years and above
1364,which are the preferred method for merscov detection, pcrbased techniques 
1365,what have become a key diagnostic and taxonomic target for cov species identification,the first open reading frames 
1366,why it can be concluded that merscov is a novel and distinct virus, less than 80 % identity between the amino acid sequence of mers orf 1ab and betacoronavirus relatives tylonycteris bat hku4 and pipistrellus bat hku5
1367,what indicates the likely presence of infectious virus, detection of viral proteins rather than viral rna
1368,what is the sensitivity with which immunochromatographic tool could detect recombinant merscov nucleocapsid protein,94 %
